,景点名,所属区县,经度,维度,推荐值,纬度
0,茶圣故里园,天门市,113.17240916632808,,,30.669621830099477
1,胡家花园,天门市,113.17350204481151,,,30.65275790361476
2,天门东湖公园,天门市,113.17739494156956,,,30.657979184033948
3,陆羽茶经楼,天门市,113.16584219372794,,,30.664419823132917
4,陆羽纪念馆,天门市,113.16708176550117,,,30.662690106939085
5,天门西塔寺,天门市,113.168170960932,,,30.6668798756552
6,抗日战争时期中共襄河地委、襄北地委旧址,天门市,113.17240916632808,,,30.669621830099477
7,抗战时期庙台百人坑,天门市,113.22554366775162,,,30.69517944052959
8,天门市革命烈士公园,天门市,113.16162051715324,,,30.641684681049583
9,红三军文家墩战斗遗址及纪念碑,天门市,113.07118765231101,,,30.54636155977896
10,彭家垴革命烈士纪念园,天门市,113.33604530650064,,,30.65645780593908
11,襄河、襄北地委旧址,天门市,113.17240916632808,,,30.669621830099477
12,天门张家湖国家湿地公园,天门市,113.26244605810152,,,30.756476101039823
13,曹禺文化旅游区,潜江市,112.9054740908161,,,30.40835793241892
14,龙湾国家考古遗址公园,潜江市,112.72361294879602,,,30.235354725191566
15,曹禺祖居博物馆,潜江市,112.89877497747544,,,30.442076963786864
16,曹禺纪念馆,潜江市,112.90424736481167,,,30.44539105645713
17,红军街,潜江市,112.78852495409977,,,30.30576359852492
18,潜江金台寺,潜江市,112.63929547837405,,,30.220317600435365
19,龙湾放鹰台遗址,潜江市,112.72361294879602,,,30.235354725191566
20,潜江市世博湖北馆,潜江市,112.89567779973812,,,30.440044878404287
21,潜江市博物馆,潜江市,112.90593357408444,,,30.405796491721574
22,潜江森林公园,潜江市,112.92339402811244,,,30.37537794406515
23,返湾湖旅游风景区,潜江市,112.68572215289349,,,30.32761311246344
24,田关水利休闲度假区,潜江市,112.82954697351843,,,30.397969953001585
25,潜江大佛寺,潜江市,112.89782439058477,,,30.43556216754401
26,梦里水乡文化旅游区,仙桃市,113.02570886976571,,,30.2999274840353
27,沔阳小镇,仙桃市,113.29699542699858,,,30.300497711172888
28,沔城风景名胜区,仙桃市,113.23984397282607,,,30.196472075432784
29,陈友谅故居（玄妙观）,仙桃市,113.2353466961209,,,30.190154441152167
30,东沼红莲池,仙桃市,113.44960935856369,,,30.33358775114635
31,沔州府,仙桃市,113.47802401947202,,,30.34543502166507
32,沔城诸葛武侯祠,仙桃市,113.22869177941135,,,30.194076331241018
33,沔城清真寺,仙桃市,113.23599590151298,,,30.20102726061051
34,普佛寺,仙桃市,113.44960935856369,,,30.33358775114635
35,文圣庙,仙桃市,113.44960935856369,,,30.33358775114635
36,复州故城,仙桃市,113.44960935856369,,,30.33358775114635
37,仙桃市博物馆,仙桃市,113.44960935856369,,,30.33358775114635
38,仙桃革命烈士纪念馆,仙桃市,113.42095898228955,,,30.371899583074374
39,司马桥,仙桃市,113.23245514051484,,,30.19948181144652
40,胡家台抗战遗址,仙桃市,113.62778250731255,,,30.325873440564013
41,绿林寨城址（绿林古兵寨）,京山县,113.1086469920771,,,31.358732849586552
42,太子山生态旅游区,京山县,112.91524603781474,,,30.922820859536557
43,绿林山景区,京山县,113.10831596649668,,,31.358541897917625
44,王莽洞,京山县,113.16442897949963,,,31.34110120217746
45,惠亭湖湿地,京山县,113.09197641808403,,,31.026548641289814
46,京山天河度假村,京山县,113.07913496115778,,,31.318308895417953
47,中共豫鄂边区委员会旧址,京山县,113.098182900683,,,31.233753302210456
48,水磨畈遗址,京山县,113.12654806495773,,,31.02433060119255
49,明显陵,钟祥市,112.64409701115545,,,31.215107839061808
50,彭墩乡村旅游世界,钟祥市,112.34240757342901,,,30.999745237182637
51,黄仙洞,钟祥市,112.96358017425406,,,31.41957412483743
52,钟祥莫愁湖,钟祥市,112.61182403825121,,,31.196987875548913
53,莫愁村,钟祥市,112.63378473339255,,,31.20728914799397
54,大口国家森林公园,钟祥市,112.81939926532496,,,31.109032316359592
55,钟祥石门水库,钟祥市,112.75880927732136,,,31.141339828112976
56,温峡湖水利风景区,钟祥市,112.59447102156223,,,31.174029854963006
57,沙洋油菜博物馆,沙洋县,112.56532136708563,,,30.69388977423326
58,沙洋纪山寺,沙洋县,112.16505143354148,,,30.541288473629624
59,沙洋烈士陵园,沙洋县,112.57671170129106,,,30.696614263109627
60,后港黄歇冢,沙洋县,112.45129280124335,,,30.510303350494635
61,毛李镇红军墓,沙洋县,112.48099958479723,,,30.50985679215251
62,沙洋潘集湖国家湿地公园,沙洋县,112.57671170129106,,,30.696614263109627
63,中原军区旧址景区,大悟县,114.49981204214035,,,31.694391525757695
64,十八潭风景区,大悟县,114.19107997904624,,,31.78248197308649
65,鄂豫边区革命烈士陵园,大悟县,114.14426595519092,,,31.56890811205312
66,新四军第五师司令部旧址,大悟县,114.21340502690242,,,31.435482937237023
67,徐海东故居及亲属烈士陵园,大悟县,114.14426595519092,,,31.56890811205312
68,大悟山,大悟县,114.21807298165447,,,31.40944759220355
69,大悟乌桕红叶观赏,大悟县,114.1334125381888,,,31.567219806641464
70,中原突围纪念馆,大悟县,114.50043914921686,,,31.695289590336778
71,宣化店谈判旧址,大悟县,114.50217997546466,,,31.6908444996555
72,红色山城宣化店,大悟县,114.50217997546466,,,31.6908444996555
73,中原军区司令部旧址,大悟县,114.21412690521024,,,31.796790968160824
74,周恩来与美蒋代表谈判旧址,大悟县,114.50106463934347,,,31.695756208691524
75,应城汤池温泉,应城市,113.5930665027434,,,31.099205877247936
76,楚珍园,应城市,113.4542200014242,,,30.961847807299414
77,烧香台寿宁禅寺,应城市,113.61155407929151,,,30.969051999742053
78,应城孔庙,应城市,113.5930665027434,,,31.099205877247936
79,鄂中革命烈士纪念馆,应城市,113.35527694950264,,,30.91424320003396
80,陶家湖城址,应城市,113.5795673963533,,,30.933976509913286
81,孝感老观湖国家湿地公园,应城市,113.5795673963533,,,30.933976509913286
82,玉女泉,应城市,113.5795673963533,,,30.933976509913286
83,汤池训练班旧址,应城市,113.36329333804314,,,30.91180053013957
84,观音湖生态旅游区,孝昌县,114.1460439712868,,,31.342484907676877
85,天紫湖度假区,孝昌县,114.00440859068135,,,31.264540493061723
86,双峰山国家森林公园,孝昌县,114.21305001656488,,,31.193159831316155
87,大唐生态观光园,孝昌县,114.16176557533915,,,31.139527923422058
88,小悟抗大十分校及孙家畈革命旧址,孝昌县,114.12504724778825,,,31.298956119526746
89,白兆山李白文化旅游区,安陆市,113.5710316973975,,,31.331889930930284
90,盛世闻樱旅游风景区,安陆市,113.74672696022763,,,31.21332685358626
91,安陆府河国家湿地公园,安陆市,113.68622231124748,,,31.271044887089037
92,赵家棚抗日烈士陵园,安陆市,113.69558292415309,,,31.261414994285975
93,斗笠崖摩崖题刻,安陆市,113.69558292415309,,,31.261414994285975
94,钱冲革命旧址,安陆市,113.34669265221875,,,31.403612579806502
95,田水湾,汉川县,113.47075591942134,,,30.43366952254167
96,汉川公园,汉川县,113.81414748366801,,,30.656542150674163
97,汈汊湖,汉川县,113.75077310790567,,,30.68333578072003
98,汉川仙女山,汉川县,113.83899155983528,,,30.641822791584246
99,神灵台遗址,汉川县,113.4996297042758,,,30.569525091795764
100,何羽道烈士墓,汉川县,113.845549010397,,,30.666913578820797
101,黄香纪念园,云梦县,113.72515038052236,,,31.07660274053772
102,祥山博物馆,云梦县,113.78000908954176,,,31.0258212660472
103,云梦城郊古墓群,云梦县,113.76433033466226,,,31.017156389073925
104,心安寺,云梦县,113.7594122018257,,,31.027218220752015
